PWP scheduling:Number of processes: 10000
Total elapsed time (for the scheduler): 153235
Throughput (Number of processes executed in units of CPU burst time): 0.065
CPU utilization: 81.929
Average waiting time (in CPU burst times): 26977.580
Average turnaround time (in CPU burst times): 26992.903
Average response time (in CPU burst times): 26953.720

Index    Arrival time     CPU Burst Length   Priority    Finish Time      Turnaround Time      Waiting Time    Idle Time      Response Time
   2          23                  23           3                  46                  23                   0           0           0
   4          38                   7           3                  53                  15                   8           8           8
   1           9                  15           4                  54                  45                  30           9           0
   5          47                  14           5                  68                  21                   7           0           7
   8          92                  17           2                 109                  17                   0          24           0
   7          84                  17           4                 118                  34                  17           0           0
  14         119                   4           2                 123                   4                   0           1           0
   6          65                  19           5                 125                  60                  41           0           3
  18         141                   8           2                 149                   8                   0          16           0
  19         158                   3           1                 161                   3                   0           9           0
  20         160                  16           1                 177                  17                   1           0           1
  21         173                   7           2                 184                  11                   4           6           4
  16         131                  20           3                 185                  54                  34           0           0
  24         191                  11           2                 202                  11                   0           6           0
  27         210                   5           4                 215                   5                   0           8           0
  11         106                  22           5                 217                 111                  89           0          19
  33         238                  12           1                 250                  12                   0          21           0
  32         230                  10           2                 252                  22                  12           0           0
  17         136                  26           5                 265                 129                 103           0          81
  37         283                  16           1                 299                  16                   0          18           0
  40         317                  25           1                 342                  25                   0          18           0
  39         316                  17           2                 358                  42                  25           0           0
  46         351                  12           2                 370                  19                   7           0           7
  45         350                  17           3                 387                  37                  20           0          20
  48         378                   8           3                 395                  17                   9           4           9
  35         279                  26           4                 400                 121                  95           0           0
  50         423                  17           2                 440                  17                   0          23           0
  41         330                  29           4                 446                 116                  87           0          70
  51         429                   7           4                 453                  24                  17           0          17
  29         218                  24           5                 463                 245                 221           0          47
  52         471                   4           2                 475                   4                   0           8           0
  10         104                  12           6                 479                 375                 363           0         359
  12         109                   4           6                 483                 374                 370           1         370
  54         483                  27           3                 510                  27                   0           0           0
  56         502                  27           4                 537                  35                   8           0           8
  23         180                  19           6                 556                 376                 357           0         357
  31         228                  11           6                 567                 339                 328           0         328
  61         574                   3           4                 577                   3                   0           7           0
  62         580                  22           3                 602                  22                   0           3           0
  67         611                  18           1                 629                  18                   0           9           0
  69         613                  20           2                 649                  36                  16           0          16
  64         587                  29           4                 669                  82                  53           0          15
  38         302                  11           6                 670                 368                 357           0         265
  74         676                   2           5                 678                   2                   0           6           0
  47         359                   8           6                 680                 321                 313           0         311
  75         688                  12           5                 700                  12                   0           8           0
  49         387                  17           6                 709                 322                 305           0         293
  53         479                   2           6                 711                 232                 230           4         230
  60         569                   2           6                 713                 144                 142           0         142
  65         596                  27           6                 740                 144                 117           0         117
  68         612                   8           6                 748                 136                 128           5         128
  80         748                   9           1                 757                   9                   0           8           0
  81         760                  18           3                 778                  18                   0           3           0
  83         770                  23           3                 801                  31                   8           0           8
  85         806                  28           2                 834                  28                   0           5           0
  87         825                  24           2                 858                  33                   9           0           9
  88         827                   7           3                 865                  38                  31           0          31
  84         777                  16           4                 876                  99                  83           0          24
  91         885                   3           2                 888                   3                   0           9           0
  70         624                  24           6                 900                 276                 252           0         133
  93         913                  22           1                 935                  22                   0          13           0
  95         917                  11           3                 946                  29                  18           2          18
  97         934                  13           3                 959                  25                  12           0          12
  96         927                   3           4                 962                  35                  32           0          32
  99         961                   7           4                 969                   8                   1           2           1
  79         747                  21           6                 977                 230                 209           0         153
  89         846                   4           6                 981                 135                 131           0         131
  92         902                  13           6                 994                  92                  79           4          79
 104        1004                  29           1                1033                  29                   0          10           0
 108        1016                  12           1                1045                  29                  17           0          17
 103        1002                  29           2                1072                  70                  41           0           0
 109        1021                  19           2                1091                  70                  51           0          51
 110        1041                   8           2                1099                  58                  50           0          50
 114        1059                  22           2                1121                  62                  40           0          40
 117        1068                   9           2                1130                  62                  53           0          53
 123        1150                   8           1                1158                   8                   0          20           0
 121        1095                  28           2                1166                  71                  43           0          35
 105        1006                  23           3                1189                 183                 160           0         160
 113        1058                   7           3                1196                 138                 131           1         131
 124        1154                   2           3                1198                  44                  42           8          42
 127        1199                   3           2                1202                   3                   0           1           0
 111        1048                  10           4                1211                 163                 153           0         150
 122        1106                  14           4                1225                 119                 105           0         105
 131        1229                  13           2                1242                  13                   0           4           0
 132        1236                  12           2                1254                  18                   6           0           6
 129        1209                  23           4                1273                  64                  41           0          16
 102         994                  28           5                1293                 299                 271           0           0
 112        1051                   6           5                1299                 248                 242           1         242
 134        1301                  15           3                1316                  15                   0           2           0
 136        1318                  10           4                1328                  10                   0           2           0
 137        1325                  17           4                1345                  20                   3           0           3
 115        1061                   5           5                1346                 285                 280           0         238
 140        1346                  28           1                1374                  28                   0           0           0
 141        1360                  15           4                1389                  29                  14           0          14
 142        1372                  27           4                1416                  44                  17           0          17
 147        1423                   8           1                1431                   8                   0           7           0
 146        1418                  17           4                1443                  25                   8           0           0
 118        1070                   4           5                1445                 375                 371           0         346
 150        1458                   4           4                1462                   4                   0          13           0
 151        1462                   6           2                1468                   6                   0           0           0
 125        1154                  25           5                1480                 326                 301           0         291
 144        1391                  23           5                1503                 112                  89           0          89
 145        1411                  14           5                1517                 106                  92           5          92
 152        1477                  13           5                1530                  53                  40           0          40
 155        1542                  17           3                1559                  17                   0          12           0
 156        1550                   6           3                1565                  15                   9           8           9
 157        1558                   8           3                1573                  15                   7           0           7
 163        1585                   6           1                1591                   6                   0          12           0
 162        1585                  19           2                1610                  25                   6           0           6
 159        1566                  16           3                1614                  48                  32           0           7
 168        1600                  19           3                1633                  33                  14           0          14
 171        1640                  13           1                1653                  13                   0           7           0
 154        1540                  19           4                1663                 123                 104           0           0
 160        1568                  21           4                1684                 116                  95           0          95
 161        1573                  11           4                1695                 122                 111           0         111
 179        1706                  27           1                1733                  27                   0          11           0
 180        1731                  11           3                1744                  13                   2           0           2
 164        1585                  18           4                1751                 166                 148           0         110
 184        1761                  16           3                1777                  16                   0          10           0
 183        1758                  12           4                1786                  28                  16           0           0
 188        1786                   9           1                1795                   9                   0           0           0
 190        1788                   5           2                1800                  12                   7           1           7
 191        1791                  26           2                1826                  35                   9           0           9
 197        1830                  29           1                1859                  29                   0           4           0
 193        1800                  26           2                1881                  81                  55           0          26
 202        1882                  25           1                1907                  25                   0           1           0
 203        1891                  25           1                1932                  41                  16           0          16
 205        1895                   4           1                1936                  41                  37           0          37
 196        1822                  22           3                1957                 135                 113           0          59
 185        1776                  29           4                1986                 210                 181           0         181
 158        1566                  14           5                1993                 427                 413           0         185
 166        1592                  10           5                2003                 411                 401           0         401
 169        1606                  20           5                2023                 417                 397           0         397
 212        2025                   3           3                2028                   3                   0           2           0
 174        1677                  18           5                2044                 367                 349           0         346
 215        2046                  16           2                2062                  16                   0           2           0
 216        2069                  19           1                2088                  19                   0           7           0
 199        1846                  24           5                2103                 257                 233           0         198
 209        1955                  16           5                2119                 164                 148           0         148
 213        2041                  13           5                2132                  91                  78           7          78
 220        2135                  29           1                2164                  29                   0           3           0
 224        2170                  21           1                2191                  21                   0           6           0
 218        2132                  13           3                2195                  63                  50           7           0
 233        2210                   9           1                2219                   9                   0          15           0
 232        2195                  23           2                2227                  32                   9           0           0
