SJF scheduling:Number of processes: 10000
Total elapsed time (for the scheduler): 153235
Throughput (Number of processes executed in units of CPU burst time): 0.065
CPU utilization: 93.496
Average waiting time (in CPU burst times): 15263.107
Average turnaround time (in CPU burst times): 15278.430
Average response time (in CPU burst times): 15264.103

Index    Arrival time     CPU Burst Length   Priority    Finish Time      Turnaround Time      Waiting Time    Idle Time      Response Time
   1           9                  15           4                  24                  15                   0           9           0
   3          26                   4           9                  30                   4                   0           2           0
   4          38                   7           3                  45                   7                   0           8           0
   2          23                  23           3                  58                  35                  12           0          22
   5          47                  14           5                  72                  25                  11           0          11
   6          65                  19           5                  91                  26                   7           0           7
   7          84                  17           4                 108                  24                   7           0           7
  12         109                   4           6                 113                   4                   0           1           0
  13         111                   6           9                 119                   8                   2           0           2
  14         119                   4           2                 123                   4                   0           0           0
   9         102                  10           7                 132                  30                  20           0          21
  10         104                  12           6                 144                  40                  28           0          28
  18         141                   8           2                 152                  11                   3           0           3
  19         158                   3           1                 161                   3                   0           6           0
  15         121                  12           7                 167                  46                  34           0          40
  21         173                   7           2                 180                   7                   0           6           0
  22         179                   7           8                 187                   8                   1           0           1
  20         160                  16           1                 197                  37                  21           0          27
  25         200                   5           7                 205                   5                   0           3           0
  24         191                  11           2                 213                  22                  11           0          14
  27         210                   5           4                 218                   8                   3           0           3
  26         208                   7           7                 225                  17                  10           0          10
  30         226                  12           7                 238                  12                   0           1           0
  32         230                  10           2                 248                  18                   8           0           8
  34         240                  10           7                 258                  18                   8           0           8
  31         228                  11           6                 269                  41                  30           0          30
  33         238                  12           1                 281                  43                  31           0          31
   8          92                  17           2                 297                 205                 188           0         189
  37         283                  16           1                 313                  30                  14           0          14
  38         302                  11           6                 324                  22                  11           0          11
  39         316                  17           2                 341                  25                   8           0           8
  42         331                  13           7                 354                  23                  10           0          10
  46         351                  12           2                 366                  15                   3           0           3
  47         359                   8           6                 374                  15                   7           0           7
  48         378                   8           3                 386                   8                   0           4           0
  45         350                  17           3                 399                  49                  32           0          36
  49         387                  17           6                 416                  29                  12           0          12
  23         180                  19           6                 435                 255                 236           0         236
  51         429                   7           4                 442                  13                   6           0           6
