SJF scheduling:Number of processes: 10000
Total elapsed time (for the scheduler): 249665
Throughput (Number of processes executed in units of CPU burst time): 0.040
CPU utilization: 50.935
Average waiting time (in CPU burst times): 10.748
Average turnaround time (in CPU burst times): 26.070
Average response time (in CPU burst times): 11.827

Index    Arrival time     CPU Burst Length   Priority    Finish Time      Turnaround Time      Waiting Time    Idle Time      Response Time
   1          23                  15           4                  38                  15                   0          23           0
   3          65                   4           9                  69                   4                   0          27           0
   2          58                  23           3                  85                  27                   4          20          11
   4          96                   7           3                 103                   7                   0          11           0
   5         118                  14           5                 132                  14                   0          15           0
   6         162                  19           5                 181                  19                   0          30           0
   7         208                  17           4                 225                  17                   0          27           0
   8         227                  17           2                 244                  17                   0           2           0
   9         252                  10           7                 262                  10                   0           8           0
  12         268                   4           6                 272                   4                   0           6           0
  10         257                  12           6                 278                  21                   9           0          15
  13         272                   6           9                 284                  12                   6           0           6
  14         292                   4           2                 296                   4                   0           8           0
  11         261                  22           5                 310                  49                  27           0          35
  15         298                  12           7                 322                  24                  12           0          12
  16         324                  20           3                 344                  20                   0           2           0
  18         349                   8           2                 357                   8                   0           5           0
  17         336                  26           5                 378                  42                  16           0          21
  19         391                   3           1                 394                   3                   0          13           0
  20         397                  16           1                 413                  16                   0           3           0
  21         430                   7           2                 437                   7                   0          17           0
  22         444                   7           8                 451                   7                   0           7           0
  23         447                  19           6                 470                  23                   4           0           4
  24         475                  11           2                 486                  11                   0           5           0
  25         497                   5           7                 502                   5                   0          11           0
  26         516                   7           7                 523                   7                   0          14           0
  27         520                   5           4                 528                   8                   3           0           3
  28         525                  29           7                 557                  32                   3           0           3
  30         559                  12           7                 571                  12                   0           2           0
  32         569                  10           2                 581                  12                   2           0           2
  31         565                  11           6                 592                  27                  16           0          16
  33         589                  12           1                 604                  15                   3           0           3
  34         595                  10           7                 614                  19                   9           0           9
  29         540                  24           5                 636                  96                  72           0          74
  35         691                  26           4                 717                  26                   0          55           0
  37         702                  16           1                 733                  31                  15           0          15
  36         699                  26           7                 759                  60                  34           0          34
  38         749                  11           6                 770                  21                  10           0          10
  39         784                  17           2                 801                  17                   0          14           0
  40         787                  25           1                 826                  39                  14           0          14
  42         821                  13           7                 839                  18                   5           0           5
  43         823                  21           8                 860                  37                  16           0          16
  46         870                  12           2                 882                  12                   0          10           0
  44         853                  24           7                 896                  43                  19           0          29
  47         891                   8           6                 904                  13                   5           0           5
  45         868                  17           3                 921                  53                  36           0          36
  48         937                   8           3                 945                   8                   0          16           0
  41         819                  29           4                 958                 139                 110           0         126
  49         959                  17           6                 976                  17                   0           1           0
  50        1048                  17           2                1065                  17                   0          72           0
  51        1064                   7           4                1072                   8                   1           0           1
  52        1169                   4           2                1173                   4                   0          97           0
  53        1188                   2           6                1190                   2                   0          15           0
  55        1201                  11           7                1212                  11                   0          11           0
  54        1198                  27           3                1236                  38                  11           8          14
  56        1245                  27           4                1272                  27                   0           9           0
  57        1261                  22           9                1294                  33                  11           0          11
  58        1337                  15           7                1352                  15                   0          43           0
  59        1380                  15           9                1395                  15                   0          28           0
  60        1416                   2           6                1418                   2                   0          21           0
  61        1428                   3           4                1431                   3                   0          10           0
  63        1452                  11           7                1463                  11                   0          21           0
  62        1442                  22           3                1475                  33                  11          11          21
  64        1460                  29           4                1504                  44                  15           0          15
  66        1496                  17           8                1521                  25                   8           0           8
  68        1522                   8           6                1530                   8                   0           1           0
  67        1520                  18           1                1547                  27                   9           0          10
  69        1525                  20           2                1567                  42                  22           0          22
  70        1553                  24           6                1591                  38                  14           0          14
  65        1482                  27           6                1618                 136                 109           0         109
  72        1626                  13           9                1639                  13                   0           8           0
  73        1647                   5           7                1652                   5                   0           8           0
  71        1619                  28           8                1665                  46                  18           1          33
  74        1682                   2           5                1684                   2                   0          17           0
  75        1712                  12           5                1724                  12                   0          28           0
  76        1721                   6           7                1730                   9                   3           0           3
  77        1787                  10           7                1797                  10                   0          57           0
  80        1865                   9           1                1874                   9                   0          68           0
  78        1856                  22           8                1887                  31                   9          59          18
  79        1862                  21           6                1908                  46                  25           0          25
  81        1895                  18           3                1926                  31                  13           0          13
  82        1895                  20           8                1946                  51                  31           0          31
  84        1935                  16           4                1962                  27                  11           0          11
  83        1919                  23           3                1985                  66                  43           0          43
  85        2009                  28           2                2037                  28                   0          24           0
  86        2047                  12           9                2059                  12                   0          10           0
  88        2060                   7           3                2067                   7                   0           1           0
  87        2056                  24           2                2090                  34                  10           0          11
  89        2107                   4           6                2111                   4                   0          17           0
  90        2172                   2           8                2174                   2                   0          61           0
  91        2205                   3           2                2208                   3                   0          31           0
  92        2247                  13           6                2260                  13                   0          39           0
  94        2274                  14           6                2288                  14                   0          14           0
  95        2283                  11           3                2299                  16                   5           0           5
  96        2308                   3           4                2311                   3                   0           9           0
  93        2274                  22           1                2324                  50                  28           0          37
  97        2326                  13           3                2339                  13                   0           2           0
  98        2343                   3           8                2346                   3                   0           4           0
  99        2394                   7           4                2401                   7                   0          48           0
 100        2417                  18           9                2435                  18                   0          16           0
 101        2441                  13           6                2454                  13                   0           6           0
 102        2476                  28           5                2504                  28                   0          22           0
 105        2506                  23           3                2529                  23                   0           2           0
 107        2530                  14           8                2544                  14                   0           1           0
 108        2532                  12           1                2556                  24                  12           0          12
 109        2545                  19           2                2575                  30                  11           0          11
 106        2519                  21           7                2595                  76                  55           0          56
 110        2596                   8           2                2604                   8                   0           1           0
 111        2615                  10           4                2625                  10                   0          11           0
 112        2622                   6           5                2631                   9                   3           0           3
 103        2497                  29           2                2646                 149                 120           0         134
 113        2640                   7           3                2653                  13                   6           0           6
 115        2648                   5           5                2658                  10                   5           0           5
 116        2660                  14           9                2674                  14                   0           2           0
 118        2670                   4           5                2678                   8                   4           0           4
 117        2666                   9           2                2687                  21                  12           0          12
 120        2686                   8           9                2695                   9                   1           0           1
 114        2642                  22           2                2715                  73                  51           0          53
 104        2501                  29           1                2744                 243                 214           0         214
 121        2733                  28           2                2772                  39                  11           0          11
 122        2761                  14           4                2786                  25                  11           0          11
 119        2686                  29           7                2815                 129                 100           0         100
 123        2871                   8           1                2879                   8                   0          56           0
 124        2881                   2           3                2883                   2                   0           2           0
 125        2882                  25           5                2908                  26                   1           0           1
 126        2930                  13           8                2943                  13                   0          22           0
 127        2994                   3           2                2997                   3                   0          51           0
 128        3006                  11           9                3017                  11                   0           9           0
 129        3018                  23           4                3041                  23                   0           1           0
 130        3059                   3           6                3062                   3                   0          18           0
 131        3068                  13           2                3081                  13                   0           6           0
 132        3086                  12           2                3098                  12                   0           5           0
 133        3120                   7           6                3127                   7                   0          22           0
 134        3246                  15           3                3261                  15                   0         119           0
 135        3278                   9           8                3287                   9                   0          17           0
 136        3289                  10           4                3299                  10                   0           2           0
 137        3306                  17           4                3323                  17                   0           7           0
 138        3352                  17           8                3369                  17                   0          29           0
 139        3358                  24           9                3393                  35                  11           0          11
 141        3397                  15           4                3412                  15                   0           4           0
 140        3361                  28           1                3436                  75                  47           0          51
 143        3444                  17           8                3461                  17                   0           8           0
 142        3426                  27           4                3480                  54                  27           0          35
 144        3473                  23           5                3503                  30                   7           0           7
 145        3524                  14           5                3538                  14                   0          21           0
 146        3543                  17           4                3560                  17                   0           5           0
 147        3556                   8           1                3568                  12                   4           0           4
 148        3613                  12           8                3625                  12                   0          45           0
 149        3622                   6           6                3631                   9                   3           0           3
 150        3643                   4           4                3647                   4                   0          12           0
 151        3653                   6           2                3659                   6                   0           6           0
 152        3690                  13           5                3703                  13                   0          31           0
 153        3804                  10           6                3814                  10                   0         101           0
 154        3847                  19           4                3866                  19                   0          33           0
 156        3871                   6           3                3877                   6                   0           5           0
 155        3852                  17           3                3889                  37                  20           0          25
 157        3892                   8           3                3900                   8                   0           3           0
 158        3912                  14           5                3926                  14                   0          12           0
 161        3929                  11           4                3940                  11                   0           3           0
 159        3913                  16           3                3953                  40                  24           0          27
 163        3959                   6           1                3965                   6                   0           6           0
 165        3974                   5           6                3979                   5                   0           9           0
 160        3917                  21           4                3985                  68                  47           0          62
 166        3977                  10           5                3995                  18                   8           0           8
 167        3992                   3           8                3998                   6                   3           0           3
 164        3959                  18           4                4016                  57                  39           0          39
 162        3959                  19           2                4035                  76                  57           0          57
 170        4034                  14           9                4049                  15                   1           0           1
 168        3997                  19           3                4068                  71                  52           0          52
 169        4013                  20           5                4088                  75                  55           0          55
 171        4099                  13           1                4112                  13                   0          11           0
 172        4153                  24           8                4177                  24                   0          41           0
 174        4190                  18           5                4208                  18                   0          13           0
 173        4182                  29           8                4229                  47                  18           5          26
 176        4233                  13           6                4246                  13                   0           4           0
 177        4236                  20           8                4266                  30                  10           0          10
 175        4210                  28           8                4290                  80                  52           0          56
 178        4246                  24           6                4314                  68                  44           0          44
 181        4326                   5           9                4331                   5                   0          12           0
 180        4325                  11           3                4341                  16                   5           0           6
 179        4263                  27           1                4357                  94                  67           0          78
 182        4354                  13           7                4370                  16                   3           0           3
 183        4393                  12           4                4405                  12                   0          23           0
 184        4401                  16           3                4421                  20                   4           0           4
 187        4451                   5           9                4456                   5                   0          30           0
 188        4460                   9           1                4469                   9                   0           4           0
 190        4465                   5           2                4474                   9                   4           0           4
 185        4438                  29           4                4486                  48                  19          17          36
 186        4445                  23           8                4509                  64                  41           0          41
 191        4473                  26           2                4535                  62                  36           0          36
 194        4533                   9           8                4544                  11                   2           0           2
 195        4544                  19           6                4563                  19                   0           0           0
 196        4551                  22           3                4585                  34                  12           0          12
 198        4592                  17           8                4609                  17                   0           7           0
 193        4496                  26           2                4628                 132                 106           0         113
 200        4624                  18           7                4646                  22                   4           0           4
 199        4612                  24           5                4670                  58                  34           0          34
 201        4668                   4           9                4674                   6                   2           0           2
 189        4465                  27           8                4701                 236                 209           0         209
 202        4701                  25           1                4726                  25                   0           0           0
 204        4726                   9           8                4735                   9                   0           0           0
 205        4734                   4           1                4739                   5                   1           0           1
 203        4723                  25           1                4764                  41                  16           0          16
 192        4474                  29           9                4793                 319                 290           0         290
 206        4790                  17           9                4810                  20                   3           0           3
 197        4571                  29           1                4839                 268                 239           0         239
 207        4814                  25           8                4864                  50                  25           0          25
 208        4842                  26           8                4890                  48                  22           0          22
 209        4885                  16           5                4906                  21                   5           0           5
 210        4897                  25           6                4931                  34                   9           0           9
 211        4954                  10           7                4964                  10                   0          23           0
 212        5059                   3           3                5062                   3                   0          95           0
 213        5098                  13           5                5111                  13                   0          36           0
 215        5111                  16           2                5127                  16                   0           0           0
 214        5106                  21           7                5148                  42                  21           0          21
 216        5167                  19           1                5186                  19                   0          19           0
 218        5325                  13           3                5338                  13                   0         139           0
 217        5316                  27           5                5356                  40                  13         130          22
 221        5363                  11           9                5374                  11                   0           7           0
 219        5328                  29           3                5396                  68                  39           0          46
 222        5395                   9           6                5405                  10                   1           0           1
 223        5407                   3           3                5410                   3                   0           2           0
 220        5333                  29           1                5437                 104                  75           0          77
 226        5448                   3           7                5451                   3                   0          11           0
 225        5429                  17           5                5457                  28                  11           0          22
 227        5461                  12           7                5473                  12                   0           4           0
 224        5419                  21           1                5490                  71                  50           0          54
 228        5462                  18           6                5508                  46                  28           0          28
 231        5480                  19           3                5527                  47                  28           0          28
 233        5519                   9           1                5536                  17                   8           0           8
 229        5467                  20           7                5556                  89                  69           0          69
 230        5467                  21           6                5577                 110                  89           0          89
 235        5564                  15           9                5592                  28                  13           0          13
 236        5567                  19           7                5611                  44                  25           0          25
 237        5610                  16           9                5627                  17                   1           0           1
 232        5481                  23           2                5650                 169                 146           0         146
 239        5654                   8           6                5662                   8                   0           4           0
 240        5656                   8           9                5670                  14                   6           0           6
 241        5665                   5           8                5675                  10                   5           0           5
 234        5554                  25           7                5696                 142                 117           0         121
 238        5629                  26           3                5722                  93                  67           0          67
 242        5742                   4           3                5746                   4                   0          20           0
 245        5753                   4           4                5757                   4                   0           7           0
 244        5752                   8           9                5764                  12                   4           0           5
 243        5749                  21           2                5782                  33                  12           3          15
 248        5799                   4           9                5803                   4                   0          17           0
 246        5755                  29           9                5815                  60                  31           0          48
 249        5803                  18           6                5833                  30                  12           0          12
 250        5829                   6           2                5839                  10                   4           0           4
 247        5791                  22           7                5861                  70                  48           0          48
 251        5856                  12           3                5873                  17                   5           0           5
